id,role,solids,mass_kg,holes
P-Front-spar,spar,1,16.08226484018506,24
P-Rear-spar,spar,1,12.96026775298156,20
P-Lower-cover,cover,1,36.50888881298651,118
P-Upper-cover,cover,1,36.50888881298625,118
P-Upper-stringers,stringer,42,7.220986674692802,0
P-Lower-stringers,stringer,32,7.220986674692589,0
P-Rib-00,rib,1,3.2752475159592307,0
P-Rib-01,rib,1,2.7520173722230203,0
P-Rib-02,rib,1,2.3904555931246025,0
P-Rib-03,rib,1,2.2490660326998038,0
P-Rib-04,rib,1,1.9443656670770633,0
P-Rib-05,rib,1,1.8302356925143173,0
P-Rib-06,rib,1,1.5363239648118117,0
P-Rib-07,rib,1,1.4665071222643793,0
P-Rib-08,rib,1,1.2590888395662208,0
P-Rib-09,rib,1,1.18421379290544,0
P-Rib-10,rib,1,0.9868904090534938,0
P-Rib-11,rib,1,0.9343030188038023,0
P-Rib-12,rib,1,0.7616286754521173,0
P-Rib-13,rib,1,0.7071718320085509,0
P-Rib-14,rib,1,0.5677682184831676,0
P-Rib-15,rib,1,0.5297306969604643,0
P-Rib-16,rib,1,0.4854091899746459,0
P-Rib-17,rib,1,0.3686461796542504,0
P-Rib-18,rib,1,0.3383930907128538,0
P-Rib-19,rib,1,0.30845752705063184,0
P-Rib-20,rib,1,0.21949359365871868,0
P-Rib-21,rib,1,0.19319045063898083,0
P-Rib-22,rib,1,0.16984842281486393,0
P-Rib-23,rib,1,0.14484136224179542,0
P-Upper-outer-splice,splice,1,12.077678643637565,262
P-Upper-inner-splice,splice,1,12.374248354249849,262
C-Fwd,primary,1,116.02617323389534,48
C-Aft,primary,1,89.79510765018608,40
Center-Upper-cover,cover,1,94.37441373202333,240
P-Lower-outer-splice,splice,1,12.07885287081688,262
P-Lower-inner-splice,splice,1,12.372700642667473,262
Center-Lower-cover,cover,1,94.374413725541,240
S-Front-spar,spar,1,16.08226484011483,24
S-Rear-spar,spar,1,12.96026775297653,20
S-Lower-cover,cover,1,36.50888881298598,118
S-Upper-cover,cover,1,36.50888881298844,118
S-Upper-stringers,stringer,42,7.220986674692802,0
S-Lower-stringers,stringer,32,7.220986674692589,0
S-Rib-00,rib,1,3.2752475159592307,0
S-Rib-01,rib,1,2.7520173722230203,0
S-Rib-02,rib,1,2.3904555931246025,0
S-Rib-03,rib,1,2.2490660326998038,0
S-Rib-04,rib,1,1.9443656670770633,0
S-Rib-05,rib,1,1.8302356925143173,0
S-Rib-06,rib,1,1.5363239648118117,0
S-Rib-07,rib,1,1.4665071222643793,0
S-Rib-08,rib,1,1.2590888395662208,0
S-Rib-09,rib,1,1.18421379290544,0
S-Rib-10,rib,1,0.9868904090534938,0
S-Rib-11,rib,1,0.9343030188038023,0
S-Rib-12,rib,1,0.7616286754521173,0
S-Rib-13,rib,1,0.7071718320085509,0
S-Rib-14,rib,1,0.5677682184831676,0
S-Rib-15,rib,1,0.5297306969604643,0
S-Rib-16,rib,1,0.4854091899746459,0
S-Rib-17,rib,1,0.3686461796542504,0
S-Rib-18,rib,1,0.3383930907128538,0
S-Rib-19,rib,1,0.30845752705063184,0
S-Rib-20,rib,1,0.21949359365871868,0
S-Rib-21,rib,1,0.19319045063898083,0
S-Rib-22,rib,1,0.16984842281486393,0
S-Rib-23,rib,1,0.14484136224179542,0
S-Upper-outer-splice,splice,1,12.07767864276628,262
S-Upper-inner-splice,splice,1,12.374248354275368,262
S-Lower-outer-splice,splice,1,12.07885287079844,262
S-Lower-inner-splice,splice,1,12.372700642688862,262
C-F4000,frame,1,11.912937708222584,0
P-Front-web-splice-A,splice,1,0.8923015765558594,24
P-Front-web-splice-B,splice,1,0.8923015765555822,24
P-Rear-web-splice-A,splice,1,0.3607521886433574,16
P-Rear-web-splice-B,splice,1,0.3607521886437124,16
S-Front-web-splice-A,splice,1,0.8923015765465808,24
S-Front-web-splice-B,splice,1,0.8923015765467002,24
S-Rear-web-splice-A,splice,1,0.36075218864423864,16
S-Rear-web-splice-B,splice,1,0.36075218864400727,16
