airfoil,surface,x,y
NACA 64A-010 10.0% AIRFOIL,upper,0.000000,0.000000
NACA 64A-010 10.0% AIRFOIL,upper,0.000250,0.001890
NACA 64A-010 10.0% AIRFOIL,upper,0.000500,0.002677
NACA 64A-010 10.0% AIRFOIL,upper,0.000750,0.003269
NACA 64A-010 10.0% AIRFOIL,upper,0.001000,0.003766
NACA 64A-010 10.0% AIRFOIL,upper,0.001250,0.004205
NACA 64A-010 10.0% AIRFOIL,upper,0.001500,0.004594
NACA 64A-010 10.0% AIRFOIL,upper,0.001750,0.004953
NACA 64A-010 10.0% AIRFOIL,upper,0.002000,0.005282
NACA 64A-010 10.0% AIRFOIL,upper,0.002250,0.005592
NACA 64A-010 10.0% AIRFOIL,upper,0.002500,0.005880
NACA 64A-010 10.0% AIRFOIL,upper,0.003000,0.006415
NACA 64A-010 10.0% AIRFOIL,upper,0.003500,0.006901
NACA 64A-010 10.0% AIRFOIL,upper,0.004000,0.007346
NACA 64A-010 10.0% AIRFOIL,upper,0.004500,0.007760
NACA 64A-010 10.0% AIRFOIL,upper,0.005000,0.008149
NACA 64A-010 10.0% AIRFOIL,upper,0.005500,0.008513
NACA 64A-010 10.0% AIRFOIL,upper,0.006000,0.008859
NACA 64A-010 10.0% AIRFOIL,upper,0.006500,0.009187
NACA 64A-010 10.0% AIRFOIL,upper,0.007000,0.009502
NACA 64A-010 10.0% AIRFOIL,upper,0.007500,0.009803
NACA 64A-010 10.0% AIRFOIL,upper,0.008000,0.010095
NACA 64A-010 10.0% AIRFOIL,upper,0.008500,0.010375
NACA 64A-010 10.0% AIRFOIL,upper,0.009000,0.010648
NACA 64A-010 10.0% AIRFOIL,upper,0.009500,0.010911
NACA 64A-010 10.0% AIRFOIL,upper,0.010000,0.011167
NACA 64A-010 10.0% AIRFOIL,upper,0.020000,0.015294
NACA 64A-010 10.0% AIRFOIL,upper,0.030000,0.018420
NACA 64A-010 10.0% AIRFOIL,upper,0.040000,0.021031
NACA 64A-010 10.0% AIRFOIL,upper,0.050000,0.023310
NACA 64A-010 10.0% AIRFOIL,upper,0.060000,0.025347
NACA 64A-010 10.0% AIRFOIL,upper,0.070000,0.027203
NACA 64A-010 10.0% AIRFOIL,upper,0.080000,0.028920
NACA 64A-010 10.0% AIRFOIL,upper,0.090000,0.030520
NACA 64A-010 10.0% AIRFOIL,upper,0.100000,0.032014
NACA 64A-010 10.0% AIRFOIL,upper,0.120000,0.034705
NACA 64A-010 10.0% AIRFOIL,upper,0.140000,0.037073
NACA 64A-010 10.0% AIRFOIL,upper,0.160000,0.039182
NACA 64A-010 10.0% AIRFOIL,upper,0.180000,0.041065
NACA 64A-010 10.0% AIRFOIL,upper,0.200000,0.042737
NACA 64A-010 10.0% AIRFOIL,upper,0.250000,0.046079
NACA 64A-010 10.0% AIRFOIL,upper,0.300000,0.048369
NACA 64A-010 10.0% AIRFOIL,upper,0.350000,0.049681
NACA 64A-010 10.0% AIRFOIL,upper,0.400000,0.049954
NACA 64A-010 10.0% AIRFOIL,upper,0.450000,0.048931
NACA 64A-010 10.0% AIRFOIL,upper,0.500000,0.046834
NACA 64A-010 10.0% AIRFOIL,upper,0.550000,0.043868
NACA 64A-010 10.0% AIRFOIL,upper,0.600000,0.040210
NACA 64A-010 10.0% AIRFOIL,upper,0.650000,0.035967
NACA 64A-010 10.0% AIRFOIL,upper,0.700000,0.031242
NACA 64A-010 10.0% AIRFOIL,upper,0.750000,0.026205
NACA 64A-010 10.0% AIRFOIL,upper,0.800000,0.021023
NACA 64A-010 10.0% AIRFOIL,upper,0.850000,0.015830
NACA 64A-010 10.0% AIRFOIL,upper,0.900000,0.010633
NACA 64A-010 10.0% AIRFOIL,upper,0.950000,0.005404
NACA 64A-010 10.0% AIRFOIL,upper,1.000000,0.000000
NACA 64A-010 10.0% AIRFOIL,lower,0.000000,0.000000
NACA 64A-010 10.0% AIRFOIL,lower,0.000250,-0.001890
NACA 64A-010 10.0% AIRFOIL,lower,0.000500,-0.002677
NACA 64A-010 10.0% AIRFOIL,lower,0.000750,-0.003269
NACA 64A-010 10.0% AIRFOIL,lower,0.001000,-0.003766
NACA 64A-010 10.0% AIRFOIL,lower,0.001250,-0.004205
NACA 64A-010 10.0% AIRFOIL,lower,0.001500,-0.004594
NACA 64A-010 10.0% AIRFOIL,lower,0.001750,-0.004953
NACA 64A-010 10.0% AIRFOIL,lower,0.002000,-0.005282
NACA 64A-010 10.0% AIRFOIL,lower,0.002250,-0.005592
NACA 64A-010 10.0% AIRFOIL,lower,0.002500,-0.005880
NACA 64A-010 10.0% AIRFOIL,lower,0.003000,-0.006415
NACA 64A-010 10.0% AIRFOIL,lower,0.003500,-0.006901
NACA 64A-010 10.0% AIRFOIL,lower,0.004000,-0.007346
NACA 64A-010 10.0% AIRFOIL,lower,0.004500,-0.007760
NACA 64A-010 10.0% AIRFOIL,lower,0.005000,-0.008149
NACA 64A-010 10.0% AIRFOIL,lower,0.005500,-0.008513
NACA 64A-010 10.0% AIRFOIL,lower,0.006000,-0.008859
NACA 64A-010 10.0% AIRFOIL,lower,0.006500,-0.009187
NACA 64A-010 10.0% AIRFOIL,lower,0.007000,-0.009502
NACA 64A-010 10.0% AIRFOIL,lower,0.007500,-0.009803
NACA 64A-010 10.0% AIRFOIL,lower,0.008000,-0.010095
NACA 64A-010 10.0% AIRFOIL,lower,0.008500,-0.010375
NACA 64A-010 10.0% AIRFOIL,lower,0.009000,-0.010648
NACA 64A-010 10.0% AIRFOIL,lower,0.009500,-0.010911
NACA 64A-010 10.0% AIRFOIL,lower,0.010000,-0.011167
NACA 64A-010 10.0% AIRFOIL,lower,0.020000,-0.015294
NACA 64A-010 10.0% AIRFOIL,lower,0.030000,-0.018420
NACA 64A-010 10.0% AIRFOIL,lower,0.040000,-0.021031
NACA 64A-010 10.0% AIRFOIL,lower,0.050000,-0.023310
NACA 64A-010 10.0% AIRFOIL,lower,0.060000,-0.025347
NACA 64A-010 10.0% AIRFOIL,lower,0.070000,-0.027203
NACA 64A-010 10.0% AIRFOIL,lower,0.080000,-0.028920
NACA 64A-010 10.0% AIRFOIL,lower,0.090000,-0.030520
NACA 64A-010 10.0% AIRFOIL,lower,0.100000,-0.032014
NACA 64A-010 10.0% AIRFOIL,lower,0.120000,-0.034705
NACA 64A-010 10.0% AIRFOIL,lower,0.140000,-0.037073
NACA 64A-010 10.0% AIRFOIL,lower,0.160000,-0.039182
NACA 64A-010 10.0% AIRFOIL,lower,0.180000,-0.041065
NACA 64A-010 10.0% AIRFOIL,lower,0.200000,-0.042737
NACA 64A-010 10.0% AIRFOIL,lower,0.250000,-0.046079
NACA 64A-010 10.0% AIRFOIL,lower,0.300000,-0.048369
NACA 64A-010 10.0% AIRFOIL,lower,0.350000,-0.049681
NACA 64A-010 10.0% AIRFOIL,lower,0.400000,-0.049954
NACA 64A-010 10.0% AIRFOIL,lower,0.450000,-0.048931
NACA 64A-010 10.0% AIRFOIL,lower,0.500000,-0.046834
NACA 64A-010 10.0% AIRFOIL,lower,0.550000,-0.043868
NACA 64A-010 10.0% AIRFOIL,lower,0.600000,-0.040210
NACA 64A-010 10.0% AIRFOIL,lower,0.650000,-0.035967
NACA 64A-010 10.0% AIRFOIL,lower,0.700000,-0.031242
NACA 64A-010 10.0% AIRFOIL,lower,0.750000,-0.026205
NACA 64A-010 10.0% AIRFOIL,lower,0.800000,-0.021023
NACA 64A-010 10.0% AIRFOIL,lower,0.850000,-0.015830
NACA 64A-010 10.0% AIRFOIL,lower,0.900000,-0.010633
NACA 64A-010 10.0% AIRFOIL,lower,0.950000,-0.005404
NACA 64A-010 10.0% AIRFOIL,lower,1.000000,0.000000
