airfoil,surface,x,y
PW1211 AIRFOIL,upper,0.000000,0.000000
PW1211 AIRFOIL,upper,0.000110,0.000920
PW1211 AIRFOIL,upper,0.000400,0.001890
PW1211 AIRFOIL,upper,0.000820,0.002920
PW1211 AIRFOIL,upper,0.001360,0.004040
PW1211 AIRFOIL,upper,0.002030,0.005260
PW1211 AIRFOIL,upper,0.002870,0.006580
PW1211 AIRFOIL,upper,0.003970,0.007990
PW1211 AIRFOIL,upper,0.005400,0.009510
PW1211 AIRFOIL,upper,0.007200,0.011180
PW1211 AIRFOIL,upper,0.009470,0.013060
PW1211 AIRFOIL,upper,0.012330,0.015130
PW1211 AIRFOIL,upper,0.015940,0.017380
PW1211 AIRFOIL,upper,0.020380,0.019810
PW1211 AIRFOIL,upper,0.025630,0.022350
PW1211 AIRFOIL,upper,0.031560,0.024910
PW1211 AIRFOIL,upper,0.037980,0.027350
PW1211 AIRFOIL,upper,0.044830,0.029660
PW1211 AIRFOIL,upper,0.051960,0.031820
PW1211 AIRFOIL,upper,0.059300,0.033810
PW1211 AIRFOIL,upper,0.066840,0.035660
PW1211 AIRFOIL,upper,0.074490,0.037350
PW1211 AIRFOIL,upper,0.082270,0.038890
PW1211 AIRFOIL,upper,0.090170,0.040320
PW1211 AIRFOIL,upper,0.098130,0.041630
PW1211 AIRFOIL,upper,0.106170,0.042820
PW1211 AIRFOIL,upper,0.114300,0.043920
PW1211 AIRFOIL,upper,0.122470,0.044920
PW1211 AIRFOIL,upper,0.130640,0.045830
PW1211 AIRFOIL,upper,0.138870,0.046650
PW1211 AIRFOIL,upper,0.147170,0.047390
PW1211 AIRFOIL,upper,0.155470,0.048060
PW1211 AIRFOIL,upper,0.163770,0.048650
PW1211 AIRFOIL,upper,0.172130,0.049170
PW1211 AIRFOIL,upper,0.180520,0.049640
PW1211 AIRFOIL,upper,0.188920,0.050050
PW1211 AIRFOIL,upper,0.197300,0.050390
PW1211 AIRFOIL,upper,0.205720,0.050670
PW1211 AIRFOIL,upper,0.214190,0.050910
PW1211 AIRFOIL,upper,0.222670,0.051100
PW1211 AIRFOIL,upper,0.231140,0.051260
PW1211 AIRFOIL,upper,0.239610,0.051360
PW1211 AIRFOIL,upper,0.248100,0.051420
PW1211 AIRFOIL,upper,0.256610,0.051450
PW1211 AIRFOIL,upper,0.265120,0.051440
PW1211 AIRFOIL,upper,0.273610,0.051390
PW1211 AIRFOIL,upper,0.282110,0.051300
PW1211 AIRFOIL,upper,0.290640,0.051170
PW1211 AIRFOIL,upper,0.299180,0.051010
PW1211 AIRFOIL,upper,0.307730,0.050830
PW1211 AIRFOIL,upper,0.316270,0.050620
PW1211 AIRFOIL,upper,0.324800,0.050380
PW1211 AIRFOIL,upper,0.333350,0.050110
PW1211 AIRFOIL,upper,0.341900,0.049820
PW1211 AIRFOIL,upper,0.350460,0.049500
PW1211 AIRFOIL,upper,0.359000,0.049150
PW1211 AIRFOIL,upper,0.367550,0.048780
PW1211 AIRFOIL,upper,0.376100,0.048380
PW1211 AIRFOIL,upper,0.384670,0.047950
PW1211 AIRFOIL,upper,0.393240,0.047510
PW1211 AIRFOIL,upper,0.401810,0.047050
PW1211 AIRFOIL,upper,0.410380,0.046560
PW1211 AIRFOIL,upper,0.418950,0.046060
PW1211 AIRFOIL,upper,0.427520,0.045540
PW1211 AIRFOIL,upper,0.436090,0.045000
PW1211 AIRFOIL,upper,0.444660,0.044440
PW1211 AIRFOIL,upper,0.453210,0.043860
PW1211 AIRFOIL,upper,0.461780,0.043260
PW1211 AIRFOIL,upper,0.470350,0.042640
PW1211 AIRFOIL,upper,0.478930,0.042010
PW1211 AIRFOIL,upper,0.487520,0.041360
PW1211 AIRFOIL,upper,0.496100,0.040690
PW1211 AIRFOIL,upper,0.504690,0.040020
PW1211 AIRFOIL,upper,0.513290,0.039330
PW1211 AIRFOIL,upper,0.521890,0.038630
PW1211 AIRFOIL,upper,0.530480,0.037920
PW1211 AIRFOIL,upper,0.539070,0.037200
PW1211 AIRFOIL,upper,0.547640,0.036470
PW1211 AIRFOIL,upper,0.556220,0.035720
PW1211 AIRFOIL,upper,0.564810,0.034960
PW1211 AIRFOIL,upper,0.573410,0.034190
PW1211 AIRFOIL,upper,0.582020,0.033420
PW1211 AIRFOIL,upper,0.590610,0.032630
PW1211 AIRFOIL,upper,0.599210,0.031840
PW1211 AIRFOIL,upper,0.607800,0.031040
PW1211 AIRFOIL,upper,0.616400,0.030230
PW1211 AIRFOIL,upper,0.624990,0.029410
PW1211 AIRFOIL,upper,0.633570,0.028590
PW1211 AIRFOIL,upper,0.642160,0.027750
PW1211 AIRFOIL,upper,0.650750,0.026900
PW1211 AIRFOIL,upper,0.659360,0.026050
PW1211 AIRFOIL,upper,0.667960,0.025190
PW1211 AIRFOIL,upper,0.676570,0.024320
PW1211 AIRFOIL,upper,0.685170,0.023450
PW1211 AIRFOIL,upper,0.693790,0.022580
PW1211 AIRFOIL,upper,0.702400,0.021700
PW1211 AIRFOIL,upper,0.711010,0.020830
PW1211 AIRFOIL,upper,0.719630,0.019960
PW1211 AIRFOIL,upper,0.728250,0.019090
PW1211 AIRFOIL,upper,0.736860,0.018220
PW1211 AIRFOIL,upper,0.745470,0.017340
PW1211 AIRFOIL,upper,0.754060,0.016480
PW1211 AIRFOIL,upper,0.762650,0.015630
PW1211 AIRFOIL,upper,0.771250,0.014780
PW1211 AIRFOIL,upper,0.779870,0.013930
PW1211 AIRFOIL,upper,0.788480,0.013090
PW1211 AIRFOIL,upper,0.797090,0.012250
PW1211 AIRFOIL,upper,0.805670,0.011420
PW1211 AIRFOIL,upper,0.814250,0.010600
PW1211 AIRFOIL,upper,0.822840,0.009790
PW1211 AIRFOIL,upper,0.831420,0.009000
PW1211 AIRFOIL,upper,0.840000,0.008210
PW1211 AIRFOIL,upper,0.848560,0.007440
PW1211 AIRFOIL,upper,0.857100,0.006700
PW1211 AIRFOIL,upper,0.865640,0.005970
PW1211 AIRFOIL,upper,0.874190,0.005270
PW1211 AIRFOIL,upper,0.882750,0.004590
PW1211 AIRFOIL,upper,0.891290,0.003920
PW1211 AIRFOIL,upper,0.899820,0.003290
PW1211 AIRFOIL,upper,0.908320,0.002680
PW1211 AIRFOIL,upper,0.916820,0.002110
PW1211 AIRFOIL,upper,0.925290,0.001580
PW1211 AIRFOIL,upper,0.933710,0.001090
PW1211 AIRFOIL,upper,0.942090,0.000660
PW1211 AIRFOIL,upper,0.950430,0.000300
PW1211 AIRFOIL,upper,0.958700,0.000020
PW1211 AIRFOIL,upper,0.966870,-0.000170
PW1211 AIRFOIL,upper,0.974940,-0.000240
PW1211 AIRFOIL,upper,0.982790,-0.000210
PW1211 AIRFOIL,upper,0.990110,-0.000100
PW1211 AIRFOIL,upper,0.996440,0.000080
PW1211 AIRFOIL,upper,1.000000,0.000240
PW1211 AIRFOIL,lower,0.000000,0.000000
PW1211 AIRFOIL,lower,0.000090,-0.000920
PW1211 AIRFOIL,lower,0.000390,-0.001840
PW1211 AIRFOIL,lower,0.000890,-0.002770
PW1211 AIRFOIL,lower,0.001580,-0.003680
PW1211 AIRFOIL,lower,0.002470,-0.004560
PW1211 AIRFOIL,lower,0.003600,-0.005350
PW1211 AIRFOIL,lower,0.005000,-0.006070
PW1211 AIRFOIL,lower,0.006710,-0.006740
PW1211 AIRFOIL,lower,0.008790,-0.007440
PW1211 AIRFOIL,lower,0.011360,-0.008190
PW1211 AIRFOIL,lower,0.014610,-0.009000
PW1211 AIRFOIL,lower,0.018790,-0.009880
PW1211 AIRFOIL,lower,0.024050,-0.010880
PW1211 AIRFOIL,lower,0.030320,-0.011890
PW1211 AIRFOIL,lower,0.037460,-0.012850
PW1211 AIRFOIL,lower,0.045070,-0.013730
PW1211 AIRFOIL,lower,0.053000,-0.014480
PW1211 AIRFOIL,lower,0.061170,-0.015170
PW1211 AIRFOIL,lower,0.069350,-0.015780
PW1211 AIRFOIL,lower,0.077640,-0.016270
PW1211 AIRFOIL,lower,0.086050,-0.016720
PW1211 AIRFOIL,lower,0.094430,-0.017130
PW1211 AIRFOIL,lower,0.102840,-0.017450
PW1211 AIRFOIL,lower,0.111330,-0.017730
PW1211 AIRFOIL,lower,0.119840,-0.017990
PW1211 AIRFOIL,lower,0.128310,-0.018200
PW1211 AIRFOIL,lower,0.136810,-0.018360
PW1211 AIRFOIL,lower,0.145380,-0.018500
PW1211 AIRFOIL,lower,0.153960,-0.018620
PW1211 AIRFOIL,lower,0.162500,-0.018710
PW1211 AIRFOIL,lower,0.171050,-0.018770
PW1211 AIRFOIL,lower,0.179650,-0.018810
PW1211 AIRFOIL,lower,0.188250,-0.018840
PW1211 AIRFOIL,lower,0.196840,-0.018850
PW1211 AIRFOIL,lower,0.205420,-0.018840
PW1211 AIRFOIL,lower,0.214030,-0.018800
PW1211 AIRFOIL,lower,0.222670,-0.018760
PW1211 AIRFOIL,lower,0.231300,-0.018720
PW1211 AIRFOIL,lower,0.239910,-0.018670
PW1211 AIRFOIL,lower,0.248520,-0.018600
PW1211 AIRFOIL,lower,0.257160,-0.018520
PW1211 AIRFOIL,lower,0.265800,-0.018430
PW1211 AIRFOIL,lower,0.274450,-0.018350
PW1211 AIRFOIL,lower,0.283070,-0.018250
PW1211 AIRFOIL,lower,0.291700,-0.018150
PW1211 AIRFOIL,lower,0.300340,-0.018030
PW1211 AIRFOIL,lower,0.308990,-0.017910
PW1211 AIRFOIL,lower,0.317640,-0.017800
PW1211 AIRFOIL,lower,0.326290,-0.017680
PW1211 AIRFOIL,lower,0.334930,-0.017550
PW1211 AIRFOIL,lower,0.343580,-0.017420
PW1211 AIRFOIL,lower,0.352230,-0.017290
PW1211 AIRFOIL,lower,0.360890,-0.017150
PW1211 AIRFOIL,lower,0.369540,-0.017010
PW1211 AIRFOIL,lower,0.378190,-0.016870
PW1211 AIRFOIL,lower,0.386840,-0.016720
PW1211 AIRFOIL,lower,0.395490,-0.016570
PW1211 AIRFOIL,lower,0.404150,-0.016420
PW1211 AIRFOIL,lower,0.412810,-0.016270
PW1211 AIRFOIL,lower,0.421460,-0.016130
PW1211 AIRFOIL,lower,0.430110,-0.015970
PW1211 AIRFOIL,lower,0.438760,-0.015810
PW1211 AIRFOIL,lower,0.447410,-0.015660
PW1211 AIRFOIL,lower,0.456060,-0.015500
PW1211 AIRFOIL,lower,0.464710,-0.015350
PW1211 AIRFOIL,lower,0.473360,-0.015190
PW1211 AIRFOIL,lower,0.482000,-0.015030
PW1211 AIRFOIL,lower,0.490650,-0.014870
PW1211 AIRFOIL,lower,0.499300,-0.014700
PW1211 AIRFOIL,lower,0.507950,-0.014540
PW1211 AIRFOIL,lower,0.516600,-0.014370
PW1211 AIRFOIL,lower,0.525250,-0.014210
PW1211 AIRFOIL,lower,0.533890,-0.014040
PW1211 AIRFOIL,lower,0.542540,-0.013870
PW1211 AIRFOIL,lower,0.551190,-0.013690
PW1211 AIRFOIL,lower,0.559840,-0.013520
PW1211 AIRFOIL,lower,0.568490,-0.013350
PW1211 AIRFOIL,lower,0.577140,-0.013180
PW1211 AIRFOIL,lower,0.585790,-0.013000
PW1211 AIRFOIL,lower,0.594440,-0.012820
PW1211 AIRFOIL,lower,0.603090,-0.012640
PW1211 AIRFOIL,lower,0.611740,-0.012470
PW1211 AIRFOIL,lower,0.620400,-0.012290
PW1211 AIRFOIL,lower,0.629040,-0.012110
PW1211 AIRFOIL,lower,0.637690,-0.011930
PW1211 AIRFOIL,lower,0.646340,-0.011740
PW1211 AIRFOIL,lower,0.654990,-0.011550
PW1211 AIRFOIL,lower,0.663660,-0.011360
PW1211 AIRFOIL,lower,0.672310,-0.011160
PW1211 AIRFOIL,lower,0.680970,-0.010970
